Date,"CHATHAM, VA","MARTINSVILLE FILTER PLANT, VA","MEADOWS OF DAN 5 SW, VA","SOUTH BOSTON, VA","STUART, VA","JOHN FLANNAGAN LAKE, VA","GRUNDY, VA","LEBANON, VA","ABINGDON 3S, VA","WISE 1SE, VA","John Kerr Dam, VA","Emporia, VA"
1980-01-01,,4.19,4.86,,,3.86,3.92,,4.22,,4.76,5.34
1980-02-01,0.93,0.68,0.58,,0.87,1.59,1.13,,1.48,1.15,1.45,1.27
1980-03-01,4.72,5.78,7.56,,7.04,4.43,4.18,,5.84,4.32,4.02,3.24
1980-04-01,4.25,5.05,8.79,,7.67,3.38,4.25,,3.51,4.03,3.24,2.73
1980-05-01,3.0,3.61,6.45,,5.92,1.92,1.87,,4.08,2.88,4.01,4.66
1980-06-01,2.98,,4.24,,3.43,1.44,,,1.75,1.37,2.62,1.37
1980-07-01,3.55,5.02,2.56,,4.28,6.92,8.01,,5.5,7.85,,3.51
1980-08-01,0.3,1.44,1.41,0.44,2.69,3.59,3.16,,2.98,3.82,0.38,1.48
1980-09-01,1.62,1.54,3.8,2.67,2.09,4.76,4.5,,3.58,,0.68,1.11
1980-10-01,3.18,2.17,3.1,4.44,2.1,1.4,2.37,,2.95,1.25,6.37,5.75
1980-11-01,2.34,2.54,2.12,2.51,2.13,3.24,3.02,,2.86,2.79,2.96,2.17
1980-12-01,0.54,0.43,0.23,0.34,0.41,1.3,1.3,,1.54,1.07,0.87,1.56
1981-01-01,0.55,0.86,0.89,0.82,0.68,1.19,1.11,,1.6,1.16,0.67,0.48
1981-02-01,4.9,3.43,4.1,3.55,3.6,3.79,3.21,,3.39,3.74,2.47,1.5066666666666666
1981-03-01,1.71,2.57,2.85,2.0,3.05,3.35,2.44,,2.28,2.72,2.14,2.77
1981-04-01,2.76,2.53,3.22,2.62,2.81,3.81,4.41,,4.7,4.56,2.25,1.5
1981-05-01,3.0,3.98,4.32,2.11,4.67,4.16,4.96,,7.12,3.82,4.59,3.98
1981-06-01,1.93,2.31,2.92,2.77,3.96,3.91,5.13,,5.01,3.89,2.68,2.22
1981-07-01,6.07,2.39,2.65,5.97,4.68,3.61,7.71,,4.84,5.14,6.03,2.73
1981-08-01,2.19,1.52,2.44,2.08,1.1,1.99,3.41,,2.65,7.96,3.0,5.59
1981-09-01,4.97,6.11,6.95,3.96,7.09,3.58,3.99,,5.78,3.98,1.57,1.12
1981-10-01,3.94,3.0,5.37,4.52,4.35,3.03,2.51,,2.61,4.13,3.91,2.48
1981-11-01,0.8,0.83,0.58,0.69,0.94,1.01,0.84,,1.35,1.38,0.63,1.06
1981-12-01,4.66,4.1,4.18,5.02,4.38,2.79,2.32,,4.0,2.74,4.08,3.74
1982-01-01,4.82,4.01,4.32,3.3200000000000003,4.18,4.63,4.64,,5.33,5.73,4.46,4.7
1982-02-01,5.91,4.87,5.89,4.12,6.06,4.53,4.67,,6.17,4.95,4.87,5.15
1982-03-01,3.09,2.36,1.59,2.48,1.81,3.85,3.81,,4.41,4.17,2.75,2.26
1982-04-01,2.03,3.18,6.33,1.77,6.27,2.36,2.6,,3.0,1.83,1.72,3.05
1982-05-01,5.25,3.7,3.67,3.86,5.83,5.95,7.61,,2.69,2.11,5.77,5.34
1982-06-01,6.44,4.42,7.25,3.93,7.35,6.21,5.35,,6.53,7.16,5.55,3.18
1982-07-01,3.75,1.8,2.79,5.98,1.89,2.82,4.88,,7.55,4.1,4.55,3.78
1982-08-01,3.78,6.19,3.39,3.92,3.62,6.79,4.94,,7.94,5.55,5.17,3.94
1982-09-01,2.33,2.67,1.69,1.41,1.92,3.36,2.52,,3.18,5.55,2.42,2.79
1982-10-01,4.04,3.05,4.21,6.31,3.43,2.78,2.79,,2.97,1.63,4.58,3.69
1982-11-01,3.82,3.19,5.53,3.22,5.59,4.71,3.86,,4.55,4.76,2.52,3.02
1982-12-01,1.87,3.14,4.7,3.39,2.93,2.55,2.03,,3.01,2.55,4.99,3.88
1983-01-01,1.56,3.9600000000000004,2.07,1.56,1.73,1.67,1.32,,2.26,1.76,5.069999999999999,1.95
1983-02-01,2.51,4.73,4.9,4.18,3.75,2.96,2.77,,2.13,3.62,5.76,4.61
1983-03-01,7.36,5.81,6.78,6.27,5.65,1.34,1.5,,2.66,1.96,8.26,5.82
1983-04-01,7.8,7.31,11.58,6.09,7.68,3.87,3.72,,4.9,4.35,4.54,6.83
1983-05-01,3.65,4.33,6.46,2.68,4.53,5.51,5.02,,5.97,7.13,4.87,4.93
1983-06-01,1.81,5.25,4.83,4.67,5.55,3.49,2.8,,2.49,2.95,1.51,2.06
1983-07-01,0.51,1.7,3.45,1.24,1.54,4.26,3.95,,3.91,3.75,0.89,0.72
1983-08-01,2.7,1.82,1.47,2.17,0.38,3.18,4.66,,3.04,4.2,1.12,2.41
1983-09-01,1.07,1.33,1.16,1.65,1.92,1.19,1.29,,2.35,1.47,2.2,4.07
1983-10-01,3.59,8.17,7.99,3.75,5.88,4.74,3.86,,3.48,3.09,4.49,4.25
1983-11-01,5.63,5.62,5.47,4.84,4.87,2.54,2.83,,2.88,2.51,4.51,4.39
1983-12-01,5.66,5.15,6.11,4.61,5.61,2.79,2.9,,4.86,3.94,5.52,5.78
1984-01-01,2.94,2.53,1.97,5.31,2.89,1.74,2.03,,2.58,2.21,2.89,3.22
1984-02-01,5.56,5.78,5.87,4.81,4.92,3.93,4.43,,5.33,4.99,4.48,5.19
1984-03-01,7.38,6.71,6.59,7.03,6.84,3.03,2.54,,3.84,4.16,7.59,5.73
1984-04-01,4.54,3.54,3.61,6.489999999999999,3.68,3.02,3.72,,3.16,3.52,5.9,4.31
1984-05-01,4.45,4.63,7.79,6.35,6.14,9.52,8.94,,7.47,7.28,5.63,5.85
1984-06-01,1.89,0.62,2.89,3.55,1.81,4.25,3.27,,2.65,2.43,2.86,2.81
1984-07-01,4.94,4.95,6.15,7.36,6.81,2.91,3.73,,5.42,2.72,8.01,6.19
1984-08-01,7.17,4.85,3.05,1.05,3.74,1.59,3.66,,1.86,1.98,3.1,3.47
1984-09-01,0.87,2.72,0.25,0.9,0.87,1.56,1.65,,1.04,2.91,2.02,1.29
1984-10-01,3.97,1.52,3.15,2.93,2.15,3.97,4.16,,1.56,4.39,2.02,1.08
1984-11-01,2.33,2.28,3.38,2.09,2.86,4.67,5.35,,3.86,4.47,2.52,2.24
1984-12-01,1.82,1.42,1.53,1.59,1.39,3.3,2.94,,3.34,2.46,2.39,2.37
1985-01-01,3.28,3.85,3.11,4.99,2.88,2.36,2.06,,3.25,2.67,5.1,4.67
1985-02-01,4.06,4.815,4.22,3.65,4.53,3.68,2.77,,3.19,3.93,4.05,4.14
1985-03-01,1.25,5.7625,1.33,0.77,1.02,2.796666666666667,2.0,,1.85,2.17,1.15,1.17
1985-04-01,0.77,4.65125,3.78,0.48,2.87,1.68,1.51,,2.27,2.57,1.08,0.78
1985-05-01,3.29,4.640625,5.15,3.51,7.12,4.35,5.06,,4.72,3.6,3.46,3.89
1985-06-01,1.63,2.6303125,2.3,2.41,5.89,3.0,2.9,,2.87,3.04,2.88,2.81
1985-07-01,7.79,3.79015625,8.55,5.15,6.94,5.88,7.72,,5.38,4.82,3.88,6.75
1985-08-01,9.01,4.320078125,13.25,8.12,13.16,2.6466666666666665,4.39,,4.67,6.41,5.71,4.79
1985-09-01,0.21,3.5200390625000004,0.0,0.11,0.98,0.47,1.07,,0.29,3.81,1.78,5.35
1985-10-01,3.23,2.52001953125,4.69,3.94,5.86,2.5,2.23,,2.63,2.11,3.3,2.97
1985-11-01,9.84,2.4000097656249997,10.66,9.14,8.14,7.36,7.22,,8.28,5.52,8.44,8.28
1985-12-01,1.45,1.9100048828124998,1.34,1.46,1.39,1.54,1.6,,1.27,1.56,1.7,1.61
1986-01-01,1.14,2.88000244140625,2.02,1.33,1.32,2.7433333333333336,1.16,,3.53,1.6,2.46,3.11
1986-02-01,2.34,3.8475012207031254,2.74,2.09,2.83,4.33,3.23,,4.52,5.41,2.26,2.38
1986-03-01,1.15,4.805000610351563,2.88,2.34,1.77,1.81,1.48,,2.12,2.8833333333333333,2.56,2.32
1986-04-01,0.96,4.728125305175782,0.85,0.46,1.64,1.13,1.61,,0.93,1.07,1.14,1.2
1986-05-01,2.88,4.684375152587891,3.07,4.0,2.28,5.02,7.55,,5.95,3.56,3.14,5.47
1986-06-01,1.67,3.6573438262939453,1.18,0.53,1.45,1.14,0.85,,1.23,0.72,0.74,1.85
1986-07-01,4.26,3.7237500381469726,2.51,0.88,5.0,3.51,5.24,,3.54,3.0100000000000002,3.4,4.14
1986-08-01,4.71,4.021914081573486,7.51,7.2,7.436666666666667,2.87,3.56,,4.87,4.303333333333334,7.82,10.82
1986-09-01,2.71,3.7709765720367434,5.39,1.55,4.15,6.78,5.09,,5.77,3.49,0.62,0.47
1986-10-01,2.88,3.1454980516433717,2.97,2.43,2.7,4.19,2.96,,3.09,3.17,3.25,2.92
1986-11-01,3.23,2.7727539086341855,5.57,3.56,5.0,5.85,4.77,,3.11,5.33,3.21,2.28
1986-12-01,5.04,2.341379395723343,5.05,4.3,4.89,3.32,3.35,,4.33,4.16,4.2,5.12
1987-01-01,2.7433333333333336,2.6106909185647966,4.35,6.45,4.29,3.45,4.55,,4.4,3.89,6.78,10.24
1987-02-01,2.05,3.229096069633961,4.16,3.57,4.053333333333334,4.48,4.46,,4.3,3.61,3.03,3.38
1987-03-01,4.2,4.017048339992762,8.21,4.63,5.04,2.92,2.86,,3.02,3.32,5.06,3.38
1987-04-01,9.53,4.372586822584272,7.96,5.78,10.29,5.48,11.69,,7.08,6.32,9.28,8.51
1987-05-01,0.94,4.528480987586081,2.8,2.67,1.76,1.49,2.24,,2.62,2.62,4.68,0.66
1987-06-01,5.0,4.092912406940013,3.64,2.51,3.65,2.27,8.59,,3.92,3.17,4.84,2.07
1987-07-01,2.02,3.908331222543493,3.9,3.33,7.59,3.15,6.59,,3.83,4.2,1.2,1.51
1987-08-01,1.14,2.960081768038993,1.3,2.52,2.74,2.87,2.09,,3.05,4.12,3.12,1.66
1987-09-01,10.52,2.5603527800252457,13.79,4.84,9.81,1.98,4.18,,3.2566666666666664,5.82,8.13,6.73
1987-10-01,0.59,0.95,0.53,1.91,1.41,1.13,1.44,,0.95,1.1,1.78,2.9
1987-11-01,3.84,4.72,4.94,3.9,4.69,3.5999999999999996,3.2566666666666664,,2.67,2.07,4.02,3.31
1987-12-01,3.68,4.22,3.09,3.96,2.79,3.82,3.56,,4.14,4.87,3.62,3.49
1988-01-01,2.18,1.77,2.59,2.92,2.73,2.9766666666666666,1.53,,2.82,2.66,3.12,2.48
1988-02-01,1.44,1.62,1.62,2.42,1.93,1.66,1.12,,3.16,2.29,2.05,3.4
1988-03-01,1.97,2.34,2.38,2.21,2.49,0.92,1.16,,1.91,2.38,1.39,2.11
1988-04-01,3.68,3.68,2.89,3.51,3.22,2.95,2.88,,4.51,3.06,4.21,4.55
1988-05-01,4.08,1.83,2.03,1.8,2.94,2.65,2.37,,3.12,2.67,2.32,4.15
1988-06-01,3.62,3.06,4.36,5.18,4.296666666666667,2.223333333333333,1.71,,1.28,2.32,2.41,4.93
1988-07-01,8.17,8.97,3.62,7.47,6.3,1.75,3.06,,5.03,4.97,4.2,3.53
1988-08-01,3.95,4.23,6.01,3.63,4.666666666666667,4.31,2.3,,3.04,2.27,2.73,1.76
1988-09-01,2.6,3.0467842600084154,4.38,2.8,4.96,5.6,5.85,,3.93,4.56,3.77,3.54
1988-10-01,1.76,2.35,2.04,3.42,2.37,1.81,1.95,,2.62,1.88,5.04,3.85
1988-11-01,4.44,4.15,6.32,4.91,3.84,3.83,3.42,,3.64,4.77,4.59,3.53
1988-12-01,1.3,1.0,1.61,1.13,2.8333333333333335,2.42,2.15,,2.22,3.25,0.79,0.58
1989-01-01,1.88,2.09,2.34,1.5,1.87,2.84,3.08,,3.79,3.69,1.73,2.29
1989-02-01,2.6633333333333336,2.59,3.64,4.85,3.48,4.28,3.58,,4.15,5.01,6.02,4.41
1989-03-01,4.67,4.06,4.89,5.04,4.36,2.73,2.89,,3.92,3.31,9.02,7.59
1989-04-01,4.01,2.91,3.07,5.11,2.35,4.66,3.84,,2.95,3.41,6.04,7.07
1989-05-01,5.61,6.03,7.77,3.58,5.89,4.453333333333333,6.64,,3.59,6.64,3.44,3.26
1989-06-01,9.35,7.35,11.15,8.34,9.64,6.05,7.97,,4.61,11.61,5.27,7.54
1989-07-01,7.2,9.28,8.11,7.293333333333333,7.970000000000001,4.94,3.63,6.58,4.33,6.42,8.08,5.09
1989-08-01,4.08,1.99,6.06,6.07,6.318333333333333,2.84,4.59,6.58,2.06,7.29,6.98,4.3
1989-09-01,6.06,8.56,9.29,5.72,5.639166666666666,6.78,6.32,6.58,8.4,7.52,2.81,2.04
1989-10-01,4.99,3.74,6.87,4.04,4.004583333333333,6.52,6.65,2.95,5.003333333333333,4.73,4.61,2.83
1989-11-01,2.89,2.28,3.43,2.63,3.9222916666666663,4.57,3.07,2.8,4.211111111111111,4.19,3.61,3.15
1989-12-01,2.22,3.39,2.26,2.65,3.3778125,0.85,1.36,1.01,3.99,2.33,2.0,2.43
1990-01-01,4.18,3.4,5.62,5.25,2.62390625,1.98,2.67,1.96,3.75,3.14,3.64,3.92
1990-02-01,5.76,6.49,7.06,4.85,3.051953125,5.28,5.31,3.42,5.02,5.12,3.38,3.94
1990-03-01,3.81,5.78,5.7,2.88,3.7059765625,2.85,2.63,2.77,5.32,3.59,2.69,3.17
1990-04-01,3.14,4.25,5.69,4.3,2.1719921875,3.52,3.12,2.32,4.21,4.06,4.22,3.16
1990-05-01,7.21,8.29,8.3,6.02,2.8406640625,4.42,5.53,7.79,6.72,6.17,6.81,5.47
1990-06-01,1.57,1.59,0.63,3.25,0.46,3.69,4.32,4.52,2.77,3.7,2.53,1.64
1990-07-01,4.91,4.51,9.88,3.56,6.65,2.85,2.1,3.34,5.26,4.21,3.69,2.85
1990-08-01,4.24,3.32,2.81,3.34,7.556111111111111,3.83,3.39,3.61,6.11,3.55,7.28,11.66
1990-09-01,0.82,1.96,1.04,0.46,7.631759259259259,4.27,3.7,2.65,3.77,3.05,0.34,0.62
1990-10-01,11.09,2.6966666666666668,13.61,8.3,9.7,4.23,4.09,4.86,5.42,3.59,4.6,4.58
1990-11-01,1.82,2.39,2.27,1.15,2.01,1.53,1.44,1.01,1.54,1.56,1.61,1.43
1990-12-01,5.34,2.6833333333333336,6.24,3.15,3.382604166666667,6.7,5.88,4.97,5.19,5.34,2.45,2.94
1991-01-01,4.56,2.7844444444444445,3.88,4.16,4.76,3.14,3.2,2.18,4.34,4.0,4.17,4.41
1991-02-01,1.83,2.27,3.46,1.63,2.93,3.57,3.3,3.33,5.0,3.91,1.71,0.72
1991-03-01,7.21,8.21,7.39,6.85,7.63,7.05,7.06,6.26,8.37,7.42,5.09,4.87
1991-04-01,2.89,3.02,4.88,1.97,4.55,1.9,1.29,2.02,1.76,2.47,1.89,1.16
1991-05-01,2.64,2.29,7.37,1.93,4.48,4.01,2.74,2.5,6.15,3.16,1.12,1.55
1991-06-01,5.03,4.25,3.39,3.24,5.0,4.86,6.37,4.63,4.24,4.72,3.88,5.73
1991-07-01,3.02,4.78,5.27,2.83,6.03,5.69,5.59,3.73,4.46,7.37,5.75,6.36
1991-08-01,0.87,4.0,1.83,1.84,3.19,3.27,4.35,2.32,2.91,4.13,3.49,7.08
1991-09-01,0.99,1.54,2.19,3.59,3.11,2.46,2.65,2.87,3.24,3.1,5.08,5.11
1991-10-01,0.47,0.35,1.06,1.72,0.99,1.08,1.24,0.47,0.49,1.39,2.38,3.57
1991-11-01,2.15,2.4,3.04,0.92,2.12,3.66,3.47,3.57,4.47,4.17,0.56,1.29
1991-12-01,4.57,5.23,5.75,3.6,5.42,7.91,7.78,6.5,6.2,7.22,2.69,1.88
1992-01-01,4.63,3.6381481481481486,4.55,4.19,4.51,2.01,2.02,2.25,1.97,2.87,3.74,3.75
1992-02-01,2.62,2.9,4.47,3.03,3.3,3.5700000000000003,1.83,2.22,3.45,2.29,2.23,2.26
1992-03-01,2.56,2.79,4.05,2.92,3.31,5.13,4.91,3.14,3.97,4.28,4.57,4.05
1992-04-01,3.99,4.24,8.27,3.28,8.03,3.19,2.71,2.29,2.78,2.64,1.47,3.34
1992-05-01,4.6,5.23,5.69,3.18,7.92,5.81,3.43,3.05,3.93,3.9,3.06,4.13
1992-06-01,2.54,3.83,6.78,3.0,5.43,2.61,2.31,2.81,4.57,3.67,4.68,3.7
1992-07-01,5.01,3.6,4.23,2.61,3.31,4.16,3.35,3.16,4.69,7.02,5.16,2.82
1992-08-01,5.2,3.15,5.34,3.16,6.03,8.22,4.76,5.08,3.03,2.97,7.9,7.13
1992-09-01,3.31,3.82,3.56,6.01,4.79,2.0,2.12,2.64,2.63,1.12,2.33,2.37
1992-10-01,3.24,2.73,4.23,2.79,3.83,1.49,1.45,1.93,3.1,2.27,3.37,2.95
1992-11-01,5.39,5.88,9.5,4.78,6.99,2.55,1.87,1.84,2.11,3.29,2.62,3.68
1992-12-01,3.46,2.69,4.21,3.27,2.95,4.81,4.52,4.17,5.92,3.99,2.2,2.65
1993-01-01,5.16,4.79,4.58,4.77,6.37,1.71,1.18,1.9,3.6133333333333333,2.58,3.82,5.15
1993-02-01,2.96,3.19,3.66,3.11,3.46,3.91,2.79,3.94,2.95,5.06,1.86,2.0
1993-03-01,8.44,9.46,9.71,7.97,7.69,6.45,6.43,5.55,6.89,6.33,6.46,8.34
1993-04-01,6.56,4.36,3.32,5.69,3.49,3.04,2.91,2.95,3.14,4.31,4.75,3.4
1993-05-01,1.92,4.22,3.99,2.58,4.22,2.12,0.97,3.02,2.83,5.28,4.67,3.96
1993-06-01,2.69,2.01,3.62,2.74,2.98,3.68,4.71,1.16,0.68,3.49,2.9,3.44
1993-07-01,4.39,7.32,3.6,1.3,4.76,4.77,3.78,2.57,2.91,4.08,3.96,1.79
1993-08-01,1.89,2.47,4.08,2.64,3.19,4.02,6.37,2.55,5.09,2.98,0.46,3.33
1993-09-01,4.92,2.64,3.88,3.06,3.51,3.2,3.51,2.4,5.07,4.17,1.18,3.22
1993-10-01,2.04,1.43,1.9,1.65,1.64,2.4466666666666668,3.74,2.14,2.03,3.56,2.74,2.73
